molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL6026724,active,6.519274621011513,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)c1ncc(NC(=O)/C=C/CN(C)C)s1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,990.2409999999994,6.761200000000007,4.0,13.0
CHEMBL5810548,active,6.519274621011513,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N1CCC3(CCN(C(=O)/C=C/CN(C)C)CC3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,987.2559999999991,6.435100000000007,3.0,11.0
CHEMBL6030909,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N1CCC3(CN(C(=O)/C=C/CN(C)C)C3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,959.2019999999992,5.654900000000007,3.0,11.0
CHEMBL5852141,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N1CC[C@@]3(CCN(C(=O)/C=C/CN(C)C)C3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,973.2289999999991,6.045000000000007,3.0,11.0
CHEMBL5818583,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N1CC[C@]3(CCN(C(=O)/C=C/CN(C)C)C3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,973.2289999999991,6.045000000000007,3.0,11.0
CHEMBL5997051,inactive,5.29864792073122,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(cc(C(F)F)c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N3CCC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1033.274999999999,7.502800000000008,2.0,10.0
CHEMBL5835369,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(cc(C(F)F)c1)C[C@H](NC(=O)[C@H](C1CCCC1)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N3CCC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1059.3129999999985,8.037000000000008,2.0,10.0
CHEMBL5823745,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)CC(NC(=O)[C@H](C(C)C)N1CC[C@@]3(CCN(C(=O)C#C[C@@H]4COCCN4C4COC4)C3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1039.287999999999,5.324600000000008,2.0,12.0
CHEMBL5890377,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)CC(NC(=O)[C@H](C(C)C)N1CC[C@]3(CCN(C(=O)C#C[C@@H]4COCCN4C4COC4)C3)C1=O)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1039.287999999999,5.324600000000008,2.0,12.0
CHEMBL5765938,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)C(COC1CN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,930.2039999999994,6.589200000000008,2.0,10.0
CHEMBL6049337,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)CCOC1CN(C(=O)C#CC(C)(C)N3CCC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,900.1339999999993,5.851200000000007,2.0,10.0
CHEMBL5857710,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)C(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,958.2579999999994,7.367800000000009,2.0,10.0
CHEMBL5937465,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)C3CC3)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,956.2419999999993,7.121800000000008,2.0,10.0
CHEMBL5947932,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)N(C)CCO)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,960.2299999999993,5.951700000000007,3.0,11.0
CHEMBL5986149,inactive,5.2777775360302694,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](COC1CN(C(=O)C#CC(C)(C)O)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,903.1339999999996,6.019900000000006,3.0,10.0
CHEMBL6013932,inactive,5.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](CO[C@@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,944.2309999999993,6.979300000000008,2.0,10.0
CHEMBL5909665,inactive,5.29864792073122,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@@H](CO[C@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(C)C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,944.2309999999993,6.979300000000008,2.0,10.0
